Year,Country,Titleholder,Age,Hair_Color,Height,Hometown,National Title,Date,Entrants
"2,011", Angola,Leila Lopes,25,Black,1.80,Benguela,Miss Angola 2010,"September 12, 2011",89
"2,012", United States,Olivia Culpo,20,Brown,1.70,Cranston,Miss USA 2012,"December 19, 2012",89
"2,013", Venezuela,Gabriela Isler,25,Brown,1.80,Valencia,Miss Venezuela 2012,"November 9, 2013",86
"2,014", Colombia,Paulina Vega,22,Brown,1.75,Barranquilla,Señorita Colombia 2013-2014,"January 25, 2015",88
"2,015", Philippines,Pia Wurtzbach,26,Black,1.73,Cagayan de Oro,Miss Universe Philippines 2015,"December 20, 2015",80
"2,016", France,Iris Mittenaere,24,Brown,1.72,Lille,Miss France 2016,"January 30, 2017",86
"2,017", South Africa,Demi-Leigh,22,Brown,1.71,Sedgefield,Miss South Africa 2017,"November 26, 2017",92
"2,018", Philippines,Catriona Gray,24,Brown,1.78,Oas,Miss Universe Philippines 2018,"December 17, 2018",94
"2,019", South Africa,Zozibini Tunzi,26,Black,1.78,Tsolo,Miss South Africa 2019,"December 8, 2019",90
"2,020", Mexico,Andrea Meza,26,Brown,1.80,Chihuahua City,Mexicana Universal 2020,"May 16, 2021",74
"2,021", India,Harnaaz Sandhu,21,Brown,1.75,Chandigarh,Miss Diva Universe 2021,"December 13, 2021",80
"2,022", United States,R'Bonney Gabriel,28,Brown,1.70,Houston,Miss USA 2022,"January 14, 2022",83
